location	A.23.1_Upper	AV.1_Upper	AY.4.2_Upper	B.1.1.318_Upper	B.1.1.7_Upper	B.1.351_Upper	B.1.525_Upper	B.1.617.1_Upper	B.1.617.2_Upper	B.1.617.3_Upper	B.1.621_Upper	B.1.623_Upper	BA.1_Upper	BA.2_Upper	BA.2.75_Upper	BA.2.86_Upper	BA.3_Upper	BA.4_Upper	BA.4.6_Upper	BA.5_Upper	BQ.1_Upper	C.36.3_Upper	C.37_Upper	CH.1.1_Upper	EG.5.1_Upper	P.1_Upper	P.2_Upper	P.3_Upper	XBB_Upper	XBB.1.16_Upper	XBB.1.5_Upper	XD_Upper	XE_Upper	undetermined_Upper	A.23.1_Lower	AV.1_Lower	AY.4.2_Lower	B.1.1.318_Lower	B.1.1.7_Lower	B.1.351_Lower	B.1.525_Lower	B.1.617.1_Lower	B.1.617.2_Lower	B.1.617.3_Lower	B.1.621_Lower	B.1.623_Lower	BA.1_Lower	BA.2_Lower	BA.2.75_Lower	BA.2.86_Lower	BA.3_Lower	BA.4_Lower	BA.4.6_Lower	BA.5_Lower	BQ.1_Lower	C.36.3_Lower	C.37_Lower	CH.1.1_Lower	EG.5.1_Lower	P.1_Lower	P.2_Lower	P.3_Lower	XBB_Lower	XBB.1.16_Lower	XBB.1.5_Lower	XD_Lower	XE_Lower	undetermined_Lower	A.23.1	AV.1	AY.4.2	B.1.1.318	B.1.1.7	B.1.351	B.1.525	B.1.617.1	B.1.617.2	B.1.617.3	B.1.621	B.1.623	BA.1	BA.2	BA.2.75	BA.2.86	BA.3	BA.4	BA.4.6	BA.5	BQ.1	C.36.3	C.37	CH.1.1	EG.5.1	P.1	P.2	P.3	XBB	XBB.1.16	XBB.1.5	XD	XE	undetermined
Mixture01	0.00875482778578937	0.029750922081504785	0.01070753141951996	0.01651578125374681	0.010970609020850534	0.025707785871257015	0.009027044583971435	0.014872659784369646	0.017109546284555976	0.01130404243481006	0.011502805751092719	0.014758889496515699	0.6825679960663316	0.2479186128303546	0.019468825754078163	0.008391825060469956	0.16790076576921617	0.0970216685930627	0.01289210937919831	0.02299027244909356	0.0029895601070766735	0.004002510392632246	0.004843866549993725	0.011477269156900024	0.015779440881067305	0.021523031957182297	0.005641725053082441	0.010958363410303052	0.014479929354616334	0.008639597627892725	0.025041754305562703	0.043912707108350754	0.12105789682449868	0.00995009474681229	1.6298071039262482e-10	0.0032408704059858767	1.7081533776000302e-20	6.113335846445683e-17	0.0037284472703703235	0.0008011719809194337	2.4716469087384152e-08	2.134418103284122e-24	5.769939955906325e-22	0.0008992015886277616	1.0504430183674412e-17	5.1706380421529086e-20	0.5254025423180506	0.025696060308113198	0.0012901949118685	8.440784023254277e-23	1.044233800724512e-18	1.097109209402489e-22	4.0665630587523033e-22	1.319579417389851e-24	2.313802437496153e-24	6.161582016642598e-25	1.175634143866669e-25	3.9877282967842866e-23	3.3785640306881056e-20	0.00745178284579416	1.0564396064608063e-30	0.0008535309951389402	2.0699775089562968e-20	1.1383012376536548e-18	5.107515190788438e-23	0.0006435460782110166	1.828010290953589e-09	1.5299911118016772e-25	0.003158627855453171	0.00988732300746592	0.004573371079495342	0.005347336215575138	0.008416991934157677	0.010804207379408544	0.003808387638312612	0.00347214018560303	0.006505130971155956	0.0053890422327977795	0.0032295064973013447	0.004750336880604999	0.6107252103966837	0.12039611955213232	0.00783386305533047	0.002069881056009004	0.03729913221266415	0.044990564594005834	0.00438771638472203	0.009746420161659726	0.00033276974427269167	0.0008169908611735098	0.0013100705905215932	0.003262285099953456	0.0054675602412162395	0.013173583463207803	0.0009203503880442097	0.005526554340010361	0.003845201762809301	0.0038818775294003627	0.007107347429024307	0.013319695602788385	0.025345159637169958	0.0004822520857113772
Mixture02	0.006246545500033792	0.01372464265583613	0.01460569362570694	0.026065301968617113	0.0263081644704455	0.026804934776248287	0.012055538997912492	0.027272396000869583	0.03241560737543698	0.019768048607278568	0.01107377032872154	0.008450234289203771	0.7716260158831381	0.12982941952639768	0.020623655660898875	0.01722907353313606	0.037292469893404394	0.007332985521809225	0.009921104714091872	0.012420402105074047	0.009048935570984441	0.0041570059718292925	0.005848419684801591	0.014187393096174214	0.014104209370394591	0.01526353495613507	0.004219813210938511	0.015872621633503194	0.008818061837378502	0.007358751600861876	0.032905463196224075	0.1915961743511937	0.007936925905448462	0.15292706987633	0.0007653532661246133	0.0018679779699591046	1.6502654278339801e-12	0.001698129385138929	0.010204324580449104	0.0037095287171777383	0.0025915175021678383	1.0958700732792398e-21	0.004267709532979659	0.0053286237982784115	0.0007208587023206228	2.841314407155942e-13	0.611898461971327	8.735757606934755e-24	0.0011039241845325896	0.0005732849931551322	0.00389262590972429	5.6365434621202205e-25	2.6251814641433445e-22	1.2660336934377364e-21	2.3487523098464654e-23	5.971292592267216e-26	5.000794265827406e-22	2.0105446364482193e-18	7.37375789887442e-21	0.005078287438271123	5.158629299644021e-24	0.002449548658294134	3.1610833812883336e-09	0.0006495558368589221	9.916750777445912e-24	0.002518237732163078	2.0050896424026827e-22	3.3145453514474876e-26	0.0034459507259161927	0.007257401319230755	0.007050706075315897	0.0063108237923832754	0.016250590923006028	0.014978611423734845	0.006623539080438224	0.007652807834972239	0.02344462098834984	0.011002677890608442	0.0055380271569253426	0.0038494691463592822	0.7235403676904137	0.011200469849825534	0.009163434768891227	0.007278782662427472	0.012926869554564943	0.0028056126957103395	0.002289891220708317	0.006299416215474304	0.0032666780146696894	0.0016630604230596896	0.0017354130104344917	0.006263211140261104	0.005547646390639679	0.010619395528862438	0.001278174549903719	0.00714763483470158	0.0041780146984850925	0.004741618366951729	0.0058731739629567245	0.024958209020447555	0.002863681323584495	0.014703426796779804
Mixture03	0.006539280859884959	0.012277112174626122	0.024461254478681225	0.005250407299199485	0.006240505945508792	0.009310139393778064	0.007926575744066225	0.009798447577722016	0.005817107218428116	0.011952445041951665	0.011080176171171378	0.005917232194399942	0.0059733497682106715	0.726507357793638	0.014920392584912234	0.006949967619556258	0.023370286979267	0.4813474495709416	0.003457422257271161	0.15280813932455456	0.003591541797091906	0.002894494272373498	0.00564658795572503	0.014421464815729555	0.0077183227265495745	0.005853890343288032	0.0023267416603601023	0.012938050472488737	0.002224885512807271	0.00550059655072349	0.0035825592694952307	0.02721812674031011	0.6452577203084715	8.179032372547266e-11	3.7100167506017274e-25	5.8454814308367344e-08	2.13844995120886e-26	4.162388868326507e-30	1.7640986666819263e-16	1.2640360878943944e-19	1.6212537184272531e-22	2.776524974010534e-23	1.6954662004422225e-25	7.1982567770611265e-06	1.4909750676204576e-23	2.5042715821550837e-28	5.3767647356586565e-28	7.128924150282906e-11	1.1217545896325477e-20	1.2850092006653435e-25	3.557147955002172e-24	0.01354221487704266	2.1397565311765164e-28	7.132778295816589e-23	4.55986843785728e-25	3.542006140111217e-30	1.5844838156304062e-29	1.7908597922132474e-26	1.688051746927707e-27	1.2394836558042573e-31	1.6403039612832658e-28	2.740994252760178e-24	5.459741095040726e-28	5.930214052421127e-26	1.043005084630787e-26	4.570057962338543e-06	0.0030991330695733666	2.2916350402992806e-27	0.0016792347711346205	0.005075880320099421	0.003160427273925141	0.0012410181198230772	0.0024502667710010234	0.0034803885653182103	0.0030431717694709586	0.0031896775431415176	0.0007596512710535701	0.004277853173700125	0.0024660326519736005	0.0015583589161224682	0.0009850554229152784	0.5098339768504908	0.004553648402398819	0.0020801436019994325	0.006377900534800859	0.26755749272128604	0.00035285488643718374	0.07567391274483598	0.00028971555902431774	0.00046588517810133796	0.0011070322730186816	0.005763912990174657	0.0016997801589891917	0.001315273178831799	0.00024321439697946732	0.0042705676948392194	0.00019473265085937806	0.0011533699324825677	0.001127136986362007	0.011431249885324063	0.06763424909142526	0.0010566669406589363
Mixture04	0.005202065078733672	0.017182072573499144	0.013652590783172651	0.011933150062134105	0.010931515378710408	0.021364722569335234	0.011017337974715666	0.011566645312508107	0.017514140770198163	0.009557179595072952	0.012778271284283537	0.010535548502229876	0.8178579195813535	0.07259139920007425	0.016491796739678842	0.014465458371167264	0.09531144146061128	0.01614275162496874	0.0072571698461255645	0.009883883355633729	0.005426481663386737	0.0029478065780219834	0.003107233820685149	0.013236869562179367	0.016814927137602884	0.019812751967681716	0.006044680625456954	0.01715667109307653	0.006228903536125769	0.014414789334387418	0.010328485697980444	0.09854468826271529	0.05126972839902742	0.06348568659563178	2.235279272641926e-19	0.0024232805543122258	8.098006948525286e-22	0.0006739722273596156	0.003041191232730375	0.0034716904556096042	0.0013789120172438365	1.702751697094023e-23	1.871320977453579e-23	7.026052709450254e-14	9.37951476464785e-14	8.852094247418133e-05	0.6700994623232839	0.001594776896384999	0.0005173278466010366	1.7367780986952725e-12	3.104600800473549e-17	2.3963401889713343e-23	2.3853760889285037e-24	2.0557603076267348e-23	7.752983430744936e-24	4.190151549640109e-23	9.833472461860136e-27	7.913238076333604e-23	7.891247254750943e-16	0.008544372766932623	1.5210663600021298e-23	0.0012099727833187082	5.130296473121015e-21	2.959626590141574e-15	1.4051647638146335e-22	0.0010666771508677385	2.6325116038750687e-19	1.2083084333618724e-24	0.003073889161820113	0.00761070431690247	0.004695178509612564	0.00518005164090103	0.006237319758080648	0.013437036302157859	0.005053549945026846	0.0030678025715527597	0.003199352549665135	0.003871504476755494	0.005454978069883235	0.0056270836230576625	0.7577757568916735	0.033121755070812456	0.0073319994854023594	0.005197052970700029	0.017810106009732152	0.005303334185276086	0.001436600097084965	0.0029439129196888263	0.0014317980473081652	0.0007603549487788659	0.0009496811252504734	0.0032534715828511896	0.006012910790354719	0.01505613288079402	0.002323305290789942	0.009277781244744501	0.002404779624953654	0.006554230462912488	0.0034893759677422343	0.018640045172692445	0.019359519704160947	0.006820324842799541
Mixture05	0.005154465426217716	0.012701129677123725	0.02217857590117109	0.008721672543168451	0.005828569739908456	0.011430121419241483	0.013518341791315674	0.010846413167361388	0.006677395798584966	0.010552915075680758	0.013084640077240329	0.01048648068080818	0.008787968820951309	0.47455243143149284	0.01824494266458193	0.008975424330714936	0.16201135799825503	0.3779136626296865	0.012582492125207867	0.14518654257381539	0.007483091716191006	0.0035705245884950776	0.0007457452488991697	0.011826765736510729	0.01341006465883592	0.005812864749138304	0.005309640079693109	0.011237970920785477	0.006320731491982633	0.0065203200353279485	0.12488567117738268	0.2069706061663778	0.3889794532211702	0.34104453280185126	1.4126790943253763e-20	0.0012319737142587068	1.408697218096707e-21	5.0171326814842405e-05	0.0009062052710161831	3.577347307735594e-15	0.0018146598211431593	2.1617753466187047e-25	1.7469636019476635e-24	0.00010902049260897555	2.269139519459684e-20	9.014174776969878e-21	2.732237987689927e-27	0.01075925463900378	0.0010633602828572827	1.0297461304254748e-19	7.676008013209462e-10	4.175540424262243e-21	5.029910238532493e-26	1.2202126874055857e-19	1.0502354632450842e-26	4.109368383201904e-25	2.216877348675729e-31	2.696856301758378e-24	1.5916557286741841e-16	1.0504194847510586e-18	8.133299995204899e-29	9.450213604669332e-17	5.438871663254739e-27	3.4475372580099e-20	1.753762824499709e-24	0.0030681227000185904	0.008407311708501218	1.2958544929324252e-24	0.0018108229728259733	0.006086440985848934	0.010116245292716828	0.0044274012935811595	0.0032527026539131317	0.004871070719450908	0.006822120185593632	0.002513671451450331	0.0021431774798264572	0.0041604400417882366	0.00432538374977891	0.004699928831876974	0.002236210615348944	0.32588243766575253	0.007519154794846067	0.0026477381283260965	0.01879877222239426	0.2963973885494849	0.0035500270400405697	0.08300773198308697	0.003225816885190157	0.000861240159003939	5.7263520630133735e-05	0.001605907832594565	0.005029851520624091	0.0027073130919035666	0.0014694345270212519	0.004270164758449604	0.0018366292132148546	0.002557505958897923	0.008043172156352472	0.02373675410130621	0.08167045774905594	0.06440691921391033
Mixture06	0.003693351520183081	0.02697431083083057	0.009178478138812068	0.011939462286127602	0.009031699302371235	0.015997497171888028	0.007918339584956463	0.01327014227234303	0.02330917716979047	0.01215460261563644	0.010577795503493682	0.01310860172049957	0.8738689693213026	0.041693949929149654	0.021957168125137608	0.007432526619279006	0.03180817124671169	0.010833043543664858	0.009559092969490144	0.009158323787179743	0.0046884958146004374	0.0031107277155142206	0.0037743868124599056	0.011684412996893219	0.012114558684390564	0.009124465149607422	0.00341255763482179	0.028095945440976967	0.006333992843352578	0.010004917130801455	0.006135847549394934	0.09336954293122207	0.03295812823966648	6.347162343911431e-11	4.849573134464125e-19	0.002982214878065028	4.4771010611218985e-22	0.00019404455782576652	0.002781651986460697	6.579792628491892e-10	0.0003542884502223262	1.5482463114186063e-19	3.1289286174663985e-19	0.0011794924636320653	4.9542855684290116e-14	4.596611651072178e-19	0.7514508221874763	7.088830727803032e-16	0.001586124410712007	6.227641815685687e-15	4.132743743514555e-17	1.1746913949328718e-26	7.128957812364893e-22	8.563202873209218e-24	8.869894048488284e-24	6.419474461986208e-29	1.6785236188382616e-23	7.012287940027955e-18	7.246833347165436e-20	0.002832896554766153	5.147986912934331e-23	2.2496046429962383e-05	6.4403253689115385e-24	7.933255491618648e-12	1.8607683337379027e-25	0.0011712148521621703	3.0876746770560207e-23	2.0668235710060543e-26	0.0016776684994803761	0.010019921267878039	0.0031440444810682962	0.004055576383790354	0.005320021367169762	0.007951976845633755	0.003655254884751559	0.005157989954421495	0.011674114678002825	0.006597879009393984	0.0049294179586756755	0.00481487571992026	0.8063997101703394	0.021691383014105912	0.0075266890963086655	0.002611280977998442	0.009584891564595827	0.001288688832082379	0.002524110362841606	0.00355350802378432	0.0012308342895097411	0.0009503898154496109	0.0009562929090486162	0.00399024431249423	0.005187812898228363	0.006198044478142497	0.0006418105744104636	0.00769426632946213	0.001097881605209456	0.005608965016039433	0.0011193833769142726	0.02275515030781332	0.012988156857733649	8.174277013145549e-05
Mixture07	0.008178976308362479	0.021250282508964984	0.02136421704815386	0.01382082574109257	0.066239538264422	0.19650489840693441	0.013086123098122742	0.012876570309964192	0.006864003859919878	0.011053480468727379	0.10507834816314203	0.010809997219217275	0.011312021857447471	0.3762098176704466	0.014047934218088915	0.006400030137157667	0.12862290784706723	0.32554917788205356	0.010242964368300057	0.11764333967594102	0.006782212092779822	0.003478005129880815	0.003509333517471744	0.01608781585749123	0.015579614465924659	0.08156584520986437	0.00740517241132252	0.015847903941152024	0.00692673987342079	0.007651743723081985	0.0047184923424633575	0.02389479384964347	0.3224164691731247	0.1654021435068591	1.8563042906483116e-26	0.0023079093005858565	7.114143267893783e-28	8.947411180929447e-05	0.04894366162406518	0.004516437122880846	0.0012415411278561554	1.4083912582682102e-25	2.5629253191558573e-28	0.001904228094731648	0.00042975254400829754	4.991701592382898e-24	3.440353067335544e-24	4.5492932660517445e-05	0.00017719799452258628	5.074297000485548e-29	5.288222465572644e-14	8.202244334974891e-23	4.996902095343526e-31	9.927088156299603e-22	7.358598713510124e-29	1.4206626020050383e-30	2.5318429597417623e-31	1.74662489924701e-25	2.372908138249046e-23	0.04303074690821881	1.9620004611635876e-24	4.363844893504545e-09	2.9794510859842555e-24	2.0839319567253996e-22	1.0238814114167989e-28	0.0021607452245232446	0.005219693768215253	2.712493372887801e-30	0.00323980971638149	0.008505560181827757	0.007205954681328463	0.007812379285370799	0.05803931152152784	0.03353036424349846	0.005791000957844921	0.002559456516354776	0.0008082260345652354	0.005597352577298262	0.013688838030757228	0.0045123808848707755	0.0025278019596069313	0.30325060629998335	0.0060810579920644245	0.0022338003776357584	0.021030765306379196	0.22181758669657684	0.0011298938679845528	0.06445712392729695	0.0013662692085775194	0.0006583413053843261	0.0005146214836023587	0.003079336344800419	0.004868076332402722	0.061154872654661616	0.0022206138708985913	0.00529497320423963	0.00217889273658925	0.0032960117099464525	0.0010846106955072952	0.009292129536245482	0.05201566825004223	0.02111700008642027
Mixture08	0.004423058635980404	0.018083073332257515	0.007968427261060318	0.006357209778793934	0.0057079540850181725	0.010163772499182815	0.00943519721562485	0.0096788520359965	0.012936360948344591	0.011180240626944421	0.010220687140502217	0.008353070871299889	0.8298416107761896	0.05552387333398522	0.012906303979911255	0.005916412577933102	0.09289958649261491	0.05279378447636915	0.007410372870307427	0.01929156544191747	0.0018904280930016194	0.002437141334600237	0.00249623062064658	0.007051373768386296	0.009973898863179693	0.012221289325713364	0.003856358481030572	0.009509936195344461	0.0030259118817922265	0.008550525355551949	0.007197661841945089	0.06444974530143961	0.07428623000902147	4.57181307732821e-13	1.0519800203693953e-23	0.0018415467488935172	1.813124196821648e-22	1.46328194281761e-21	0.000260290573709682	5.848184282309429e-19	0.0006446787562680988	5.814292426034416e-26	4.322921457252258e-25	0.0017461281593148343	1.1385691689376306e-21	4.8760084725328075e-24	0.7579715591892471	5.304263253144032e-22	1.199488212274416e-13	2.3624318621711365e-20	2.962796364666252e-16	3.679381014831032e-24	1.8726266588794917e-24	9.196936259474217e-23	1.1697571405675158e-25	1.4191292467009274e-31	7.667491803678291e-33	4.495600864083683e-24	4.4832180921293865e-23	7.920913711018556e-06	1.382440699935016e-25	9.69382882186237e-17	3.3681198079772553e-28	2.7173333983081048e-18	6.820393854014622e-26	9.886984991471785e-05	0.008705040081411982	9.591350989615663e-27	0.001228776962951556	0.008019723470188806	0.0032499079710922247	0.0022986386348186364	0.0028604863123009986	0.0038767814618191144	0.004905923537390306	0.0020548967570950052	0.0026817914634857977	0.005347965291091081	0.0030506794429440314	0.00223367496081472	0.8003795872593932	0.0310315328213247	0.006427206969520827	0.0020302700934546176	0.021445238520590007	0.019674511415070782	0.0012077126520647922	0.009657132516169824	0.0001284130527215164	0.0003725255808049125	0.000273569376399577	0.0012141592580674336	0.0037654765782327267	0.003931579936937376	0.0008733192042586222	0.003140420875123338	0.0004517907622260437	0.003935838529253417	0.0009461510269655378	0.014929129916853537	0.029469957154192487	4.4743922081541636e-05
Mixture09	0.003884861824369208	0.014171882965091297	0.016747264199784808	0.008896893245242008	0.005619514258912471	0.01392556625234002	0.009040554337580536	0.006848746490591954	0.006443457955652923	0.01330695808533703	0.008939471347189634	0.012706168346022008	0.00938669662759512	0.7108059339328717	0.01343840588401225	0.35337937997145774	0.02738511239416959	0.008605078522264768	0.011694328578220316	0.03448342058634875	0.43107819912135126	0.0031235734901686116	0.007219203231896196	0.010531355113212567	0.016888229182850347	0.008465960936159289	0.012730560500639958	0.013144727600612431	0.0059399746279664815	0.014264182836954681	0.43879608268775083	0.015324590202378615	0.005484227318960547	0.8894514672862702	5.815304781997356e-30	0.0008507293888823708	0.000822787242519558	3.7115668520762163e-28	0.0006895710240615024	2.6210550523189337e-05	0.0005393746827526159	4.507617871840017e-30	6.449806615026541e-30	0.0006922060383463958	2.537316392351892e-28	2.796634262170621e-19	0.00041832526320343777	8.130512048367539e-29	0.002656584780396799	0.00030768443713715386	0.001642687783752191	8.265346912655625e-28	8.389058628605117e-14	8.030041548360507e-14	2.229280490988528e-27	1.1176394770657679e-29	6.19563248022663e-29	5.747316324848809e-24	5.326459221402894e-19	0.00016786122511790424	8.404214222084338e-26	7.394111879699275e-20	4.125367552635246e-25	0.0007028014059407794	0.004980234658043041	0.0024788100588587847	1.891251706917453e-24	4.922729705064883e-20	0.0012334537152748238	0.005686549533337115	0.010354656153857819	0.0022276878499144057	0.0029146964351987824	0.007698191025660879	0.0051028403561022085	0.0016645623858132822	0.0014992921297461784	0.005931410484012619	0.0016501714923601444	0.006002027451041626	0.0044944437899218734	0.06021870070495368	0.0065321593140281985	0.028224609412880103	0.007675544396808886	0.004561158027088936	0.014451352934797218	0.010302502950820918	0.030852466581974824	0.0007744656800858342	0.011007307834603302	0.003010679162902148	0.008393632550390344	0.0041217624619685036	0.0037391825495512606	0.004668201667076304	0.0028191661822795262	0.006708087756076685	0.051598922348047666	0.008253554608766393	0.001710568022193781	0.671001295615265
Mixture10	0.0029153127770826705	0.01728121120428381	0.010455540207256885	0.015117666914647984	0.007414895682164241	0.009854841955841237	0.011949988186082313	0.010408938346964873	0.015853528255481357	0.011363914977937779	0.010407146972978414	0.008123108676478088	0.6443070754872399	0.28238744872849053	0.01565471129799004	0.011874686419100012	0.1871037364769671	0.012137135103877988	0.010366220181043313	0.014307072806290152	0.00535717553843663	0.0017926530252471173	0.008513723782880692	0.007538710024502467	0.013450346098585612	0.008287742554684669	0.00419324199745845	0.011670156244731653	0.006558730857954681	0.01015417716379481	0.005201040141874287	0.06632582981035853	0.2383718067702522	0.04172393512339095	8.770563088867615e-27	0.0014859365027245362	1.9341161036987089e-22	5.233134747262365e-15	0.0008172923210343869	1.2216702151021293e-16	9.579976011064804e-18	1.0968126953660911e-27	1.0609094761295628e-24	0.0015531103421801819	3.376696787911784e-16	6.555382721443948e-21	0.5332207138176187	1.0839570200866753e-10	0.0002202978414606332	2.4792900946041636e-20	0.00016401273728501378	2.918462907137394e-27	1.40532960583464e-26	2.388125629866411e-24	2.2721691695991905e-23	2.0175772064749534e-27	1.0751719241565359e-22	1.4735257034691644e-22	3.2654464261824297e-20	8.650716442566416e-10	1.7484803759909202e-24	1.150652835917245e-16	7.895934398380603e-23	1.5254152607503344e-17	8.69333313500996e-24	1.4159627353207454e-10	0.0022538840503621626	7.470270199298779e-26	0.0007543052553992961	0.007227490737486694	0.005478120758521118	0.004675424025969086	0.004370970196511071	0.00460787242082592	0.004085130945168043	0.0019156548213731164	0.003076442516763247	0.005694841330052479	0.004430581749953821	0.0031067709935170655	0.6004783433073052	0.15060119986791018	0.006250824072030771	0.005072400318856798	0.04066795433132137	0.0035314876109418408	0.0017373438038726353	0.005588878319458607	0.0010448612602940513	0.0002802956372945371	0.0023379224225379735	0.0012633982539415412	0.006310837327163838	0.0035579463000799875	0.0009702487857415379	0.005509701999499016	0.001958435030207152	0.005088443353005789	0.0015117546547769418	0.017060441385491752	0.08248254101137674	0.002900164998839674
